Priority	3pg[c]	3php[c]	nad[c]	nadh[c]	ser__L[c]	param_PGCD_total	param_pH	param_Temp	FileFlag	Target_Data
1	0.005	0	0.000039810717055349695	0	0	1	9	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateFor_nad.txt"	0.7992399910868981
1	0.005	0	0.00006309573444801929	0	0	1	9	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateFor_nad.txt"	0.8631931113967899
1	0.005	0	0.0001	0	0	1	9	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateFor_nad.txt"	0.9090909090909091
1	1	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	20.
1	1	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	20.
1	1	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	20.
1	1	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	20.
1	1	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	20.
1	1	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	20.
1	1	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	20.
1	1	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	20.
1	1	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	20.
1	1	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	20.
1	1	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	20.
1	1	0	1	0	0	1	8.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	0.55
1	1	0	1	0	0	1	8.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	0.55
1	1	0	1	0	0	1	8.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	0.55
1	1	0	1	0	0	1	8.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	0.55
1	1	0	1	0	0	1	8.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	0.55
1	1	0	1	0	0	1	8.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	0.55
1	1	0	1	0	0	1	8.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	0.55
1	1	0	1	0	0	1	8.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	0.55
1	1	0	1	0	0	1	8.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	0.55
1	1	0	1	0	0	1	8.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	0.55
1	1	0	1	0	0	1	8.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	0.55
1	0	1	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateRev.txt"	27.8
1	0	1	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateRev.txt"	27.8
1	0	1	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateRev.txt"	27.8
1	0	1	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateRev.txt"	27.8
1	0	1	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateRev.txt"	27.8
1	0	1	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateRev.txt"	27.8
1	0	1	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateRev.txt"	27.8
