Priority	2dda7p[c]	e4p[c]	pep[c]	pi[c]	2pg[c]	param_DDPA_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0.00008896498557170735	1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.38686317984685725
1	0	0.00014100000000000023	1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.5000000000000003
1	0	0.00022346994013701743	1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.6131368201531434
1	0	0.0003541759868428516	1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.715252751049199
1	0	0.0005613311104804321	1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.7992399910868985
1	0	0.0008896498557170735	1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.86319311139679
1	0	0.0014100000000000022	1	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.9090909090909092
1	0	8.599999999999994e-6	1	0	0	1	6.8	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.09090909090909084
1	0	0.000013630081455165573	1	0	0	1	6.8	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.13680688860320997
1	0	0.000021602223310982394	1	0	0	1	6.8	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.2007600089131018
1	0	0.00003423721666760078	1	0	0	1	6.8	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.28474724895080156
1	0	0.00005426233162529656	1	0	0	1	6.8	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.38686317984685675
1	0	0.00008599999999999995	1	0	0	1	6.8	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.49999999999999983
1	0	0.00013630081455165573	1	0	0	1	6.8	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.613136820153143
1	0	0.00021602223310982394	1	0	0	1	6.8	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.7152527510491986
1	0	0.0003423721666760075	1	0	0	1	6.8	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.7992399910868981
1	0	0.0005426233162529657	1	0	0	1	6.8	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.8631931113967899
1	0	0.0008599999999999994	1	0	0	1	6.8	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.909090909090909
1	0	1	9.000000000000007e-7	0	0	1	6.8	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.09090909090909097
1	0	1	1.4264038732150038e-6	0	0	1	6.8	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.13680688860321014
