Priority	e4p[c]	f6p[c]	g3p[c]	s7p[c]	pi[c]	param_TALA2_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	0.0001201665510863984	1	0.038	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_g3p.txt"	0.5131670194948619
1	0	0	0.00037999999999999997	1	0.038	1	8.5	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/relRateRev_g3p.txt"	0.7692307692307692
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/inhibRatio_pi_1.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/inhibRatio_pi_1.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/inhibRatio_pi_1.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/inhibRatio_pi_1.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/inhibRatio_pi_1.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/inhibRatio_pi_1.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/inhibRatio_pi_1.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/inhibRatio_pi_1.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/inhibRatio_pi_1.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/inhibRatio_pi_1.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/inhibRatio_pi_1.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/inhibRatio_pi_2.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/inhibRatio_pi_2.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/inhibRatio_pi_2.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/inhibRatio_pi_2.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/inhibRatio_pi_2.txt"	0.019
1	0	0	0	0	0	1	7.5	25	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_TALA2_typeII/input/inhibRatio_pi_2.txt"	0.019
