Priority	dhap[c]	fdp[c]	g3p[c]	param_FBA2_total	param_pH	param_Temp	FileFlag	Target_Data
1	0.00013	0.000017000000000000007	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.04761904761904764
1	0.00013	0.00005375872022286247	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.13652705949581437
1	0.00013	0.00017000000000000007	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.3333333333333335
1	0.00013	0.0005375872022286248	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.6125741132772069
1	0.00013	0.0017000000000000008	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.8333333333333333
1	0.00026	0.000017000000000000007	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.032258064516129045
1	0.00026	0.00005375872022286247	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.09535767393826002
1	0.00026	0.00017000000000000007	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.2500000000000001
1	0.00026	0.0005375872022286248	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.5131670194948621
1	0.00026	0.0017000000000000008	0	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_dhap.txt"	0.7692307692307693
1	0	0.000017000000000000007	0.00008475	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.053862804550599414
