Priority	3psme[c]	pep[c]	pi[c]	skm5p[c]	param_PSCVT_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0.00024999999999999995	0	1	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.9090909090909091
1	0	1	0	2.0000000000000003e-6	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.09090909090909091
1	0	1	0	3.1697863849222286e-6	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.13680688860321005
1	0	1	0	5.023772863019165e-6	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.20076000891310186
1	0	1	0	7.96214341106994e-6	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.2847472489508013
1	0	1	0	0.000012619146889603861	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.3868631798468569
1	0	1	0	0.00002	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.49999999999999994
1	0	1	0	0.00003169786384922229	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.6131368201531432
1	0	1	0	0.00005023772863019165	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.7152527510491988
1	0	1	0	0.00007962143411069939	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.7992399910868981
1	0	1	0	0.0001261914688960386	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.86319311139679
1	0	1	0	0.00020000000000000004	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.9090909090909092
1	0	8.799999999999992e-6	0	1	1	6.8	20	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.09090909090909083
1	0	0.000013947060093657791	0	1	1	6.8	20	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.13680688860320997
1	0	0.000022104600597284302	0	1	1	6.8	20	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.20076000891310175
1	0	0.00003503343100870777	0	1	1	6.8	20	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.2847472489508015
1	0	0.00005552424631425693	0	1	1	6.8	20	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.38686317984685664
1	0	0.00008799999999999992	0	1	1	6.8	20	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.4999999999999998
1	0	0.00013947060093657792	0	1	1	6.8	20	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.613136820153143
1	0	0.00022104600597284304	0	1	1	6.8	20	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.7152527510491986
1	0	0.0003503343100870773	0	1	1	6.8	20	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.7992399910868982
1	0	0.0005552424631425693	0	1	1	6.8	20	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.8631931113967899
1	0	0.0008799999999999992	0	1	1	6.8	20	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.909090909090909
1	0	1	0	0.000012000000000000007	1	6.8	20	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.09090909090909095
1	0	1	0	0.00001901871830953338	1	6.8	20	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.13680688860321014
1	0	1	0	0.000030142637178115006	1	6.8	20	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.20076000891310197
1	0	1	0	0.00004777286046641966	1	6.8	20	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.28474724895080133
1	0	1	0	0.0000757148813376232	1	6.8	20	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.386863179846857
1	0	1	0	0.00012000000000000008	1	6.8	20	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.5000000000000002
1	0	1	0	0.00019018718309533382	1	6.8	20	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.6131368201531432
1	0	1	0	0.00030142637178115007	1	6.8	20	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.7152527510491989
1	0	1	0	0.0004777286046641971	1	6.8	20	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.7992399910868982
1	0	1	0	0.0007571488133762321	1	6.8	20	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.86319311139679
1	0	1	0	0.0012000000000000008	1	6.8	20	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.9090909090909091
1	0	0.00001	0	1	1	7.8	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.09090909090909091
1	0	0.00001584893192461114	0	1	1	7.8	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.13680688860321005
1	0	0.000025118864315095822	0	1	1	7.8	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.20076000891310186
1	0	0.000039810717055349695	0	1	1	7.8	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.2847472489508013
1	0	0.00006309573444801929	0	1	1	7.8	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.3868631798468568
1	0	0.0001	0	1	1	7.8	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.5
1	0	0.00015848931924611142	0	1	1	7.8	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.6131368201531432
1	0	0.0002511886431509582	0	1	1	7.8	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.7152527510491988
1	0	0.00039810717055349735	0	1	1	7.8	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.7992399910868982
1	0	0.000630957344480193	0	1	1	7.8	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.8631931113967899
1	0	0.001	0	1	1	7.8	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.9090909090909091
1	0	0.002250000000000001	0	1	1	7	30	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.09090909090909095
1	0	0.0035660096830375087	0	1	1	7	30	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.1368068886032101
1	0	0.005651744470896557	0	1	1	7	30	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.2007600089131018
1	0	0.008957411337453694	0	1	1	7	30	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.2847472489508015
1	0	0.014196540250804357	0	1	1	7	30	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.38686317984685714
1	0	0.02250000000000001	0	1	1	7	30	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.5000000000000001
1	0	0.03566009683037508	0	1	1	7	30	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.6131368201531432
1	0	0.056517444708965595	0	1	1	7	30	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.7152527510491986
1	0	0.08957411337453694	0	1	1	7	30	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.7992399910868984
1	0	0.14196540250804357	0	1	1	7	30	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.8631931113967901
1	0	0.22500000000000012	0	1	1	7	30	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.9090909090909092
1	0	2.0000000000000003e-6	0	1	1	7.8	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.09090909090909091
1	0	3.1697863849222286e-6	0	1	1	7.8	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.13680688860321005
1	0	5.023772863019165e-6	0	1	1	7.8	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.20076000891310186
1	0	7.96214341106994e-6	0	1	1	7.8	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.2847472489508013
1	0	0.000012619146889603861	0	1	1	7.8	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.3868631798468569
1	0	0.00002	0	1	1	7.8	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.49999999999999994
1	0	0.00003169786384922229	0	1	1	7.8	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.6131368201531432
1	0	0.00005023772863019165	0	1	1	7.8	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.7152527510491988
1	0	0.00007962143411069939	0	1	1	7.8	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.7992399910868981
1	0	0.0001261914688960386	0	1	1	7.8	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.86319311139679
1	0	0.00020000000000000004	0	1	1	7.8	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.9090909090909092
1	0	1	0	8.000000000000003e-7	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.09090909090909094
1	0	1	0	1.267914553968892e-6	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.1368068886032101
1	0	1	0	2.0095091452076667e-6	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.20076000891310197
1	0	1	0	3.1848573644279767e-6	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.28474724895080133
1	0	1	0	5.047658755841546e-6	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.386863179846857
1	0	1	0	8.000000000000003e-6	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.5000000000000001
1	0	1	0	0.000012679145539688918	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.6131368201531432
1	0	1	0	0.000020095091452076665	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.7152527510491988
1	0	1	0	0.000031848573644279767	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.7992399910868982
1	0	1	0	0.00005047658755841546	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.86319311139679
1	0	1	0	0.00008000000000000003	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_skm5p.txt"	0.9090909090909091
1	0	1.3000000000000005e-6	0	1	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.09090909090909095
1	0	2.0603611501994493e-6	0	1	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.1368068886032101
1	0	3.265452360962458e-6	0	1	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.20076000891310194
1	0	5.175393217195462e-6	0	1	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.28474724895080133
1	0	8.202445478242513e-6	0	1	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.38686317984685703
1	0	0.000013000000000000006	0	1	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.5000000000000001
1	0	0.000020603611501994493	0	1	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.6131368201531433
1	0	0.00003265452360962458	0	1	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.7152527510491988
1	0	0.00005175393217195462	0	1	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.7992399910868981
1	0	0.00008202445478242512	0	1	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.8631931113967899
1	0	0.00013000000000000004	0	1	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateFor_pep.txt"	0.9090909090909092
1	1	0	0.0004999999999999999	0	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateRev_pi.txt"	0.0909090909090909
1	1	0	0.0007924465962305569	0	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateRev_pi.txt"	0.13680688860321005
1	1	0	0.0012559432157547897	0	1	7	25	"/home/kevin/Desktop/MASSef/examples/fit_PSCVT_Final_typeII/input/relRateRev_pi.txt"	0.2007600089131017
