ssd,Km,Km_cit,kcat,kcat_cit,Keq,Keq_cit
2.9851071880507364e-7,0.0012814852449661194,0.0044812759206821085,2.4728650911662126e-6,5.089577132784602e-7,1.3391661538638287e-6,1.0120698812913727
9.00073004171835e-7,0.0012814200299005125,0.004485167751290666,1.4114027797152981e-6,7.197851905888078e-8,2.173991289587803e-6,1.0557415810774593
1.5459228830395558e-6,0.0012817463623538683,0.004485793771928989,1.782449654909056e-6,2.353840566060665e-6,0.000056067683726042706,1.1023276430661584
1.76577882395252e-6,0.0012862679521621681,0.004485014023716686,9.852436023992065e-7,1.8947003592274563e-7,0.0004908739110039095,1.1381452585327867
2.064571885732663e-6,0.0012813575716560984,0.004485259324748622,2.4969956257420683e-7,4.006652634708693e-8,0.00006434731435230456,1.3948141295527274
4.5352432269869205e-6,0.0012828037126163083,0.0044858921674387035,4.829601665619246e-7,2.3329353953550255e-8,1.3153405231322576e-8,1.4755804480799564
5.33817062248959e-6,0.0012775205470317433,0.00450888268610335,1.3758160773616064e-6,0.000012195850244835512,0.00012039172332396327,1.5614545449769452
6.235090514087193e-6,0.0012812565266224843,0.004485781269606523,8.03200889104304e-6,2.8601384892673983e-8,0.02674200164698355,1.601443442499504
0.000022774997001811305,0.0012815143470191893,0.004487858575974273,1.3791719806808176e-7,1.8065584744003073e-8,2.150498693271148,0.01970997826999639
0.00003491938387734902,0.0012455268374566683,0.00450953633356828,4.3660258810048066e-7,6.837783955383412e-6,0.00021198631053125598,2.2671597762472797
0.000050497476205320336,0.0012757342668456122,0.004491522458187304,0.00001351683378182178,2.7263014207450136e-8,3.6387579622067052e-6,2.2914774346744116
0.00008021226035872958,0.0012756418745923674,0.004509221807002061,0.000013644833431728325,1.693573155649997e-6,0.005322461306562218,2.30916913294734
0.00012644501799824145,0.00128032759097636,0.004487354010935279,5.4596909203399445e-6,9.963380608786085e-7,0.003878057410959631,3.078047696982326
0.0002191186567426201,0.0012930857701940366,0.0044930247032387485,0.000014266235177298585,8.25489953094242e-6,0.00006102813971881124,3.2400471526795633
0.001115082029055592,0.0012832834225431464,0.004486122765314567,1.8339576967695527e-6,3.8427118890417586e-8,0.0007260793094559678,3.9592831852380295
0.0011363235069264414,0.0012818809345100754,0.004486055541507906,3.2109499068354814e-7,5.738218209495584e-8,0.00009124314510596062,7.232605890900332
